"TH_T_U_UID_1","TH_T_U_UID_2"
121470,140940
123598,123913
123598,123857
123796,123804
123804,123796
123837,183737
123855,184972
123857,123598
123865,184972
123867,123997
123869,184972
123901,123912
123901,123910
123907,123992
123910,123901
123912,123901
123913,123598
123948,123956
123956,123948
123992,123907
123997,123867
131530,133907
131530,133967
131530,131915
131530,131607
131530,135275
131530,133941
131532,131557
131533,135047
131533,131578
131535,134085
131535,134077
131535,134132
131535,135128
131535,131551
131535,131678
131538,135035
131540,131556
131543,131723
131544,136711
131544,136710
131544,136709
131544,135491
131544,131639
131544,134975
131544,133059
131544,132870
131544,172163
131544,131775
131546,134993
131546,131560
131546,131590
131546,131547
131547,131546
131548,134993
131550,134971
131550,132608
131550,134020
131551,205443
131551,134077
131551,133935
131551,134132
131551,131678
131551,131535
131553,205444
131553,205443
131553,133319
131553,205442
131554,131669
131554,131735
131554,131665
131554,135293
131554,135818
131554,131564
131555,154063
131555,131601
131555,133345
131556,131540
131556,133987
131557,131532
131559,135604
131559,134982
131559,131566
131559,131699
131559,132487
131560,131590
131560,131546
131560,131561
131560,134993
131561,131560
131563,135287
131563,135286
131564,135026
131564,131566
131564,131554
131566,131559
131566,134978
131566,134974
131566,131592
131566,131564
131566,131633
131566,135010
131567,134411
131567,143703
131567,132060
131567,134235
131567,134211
131567,131776
131567,135240
131569,133136
131570,135128
131570,134132
131570,131678
131570,134023
131571,134241
131572,135265
131572,132060
131573,134390
131573,134389
131573,134385
131573,134412
131573,134388
131573,134387
131574,133441
131574,133997
131574,133732
131576,133348
131576,131648
131576,163063
131576,133355
131576,163043
131576,133356
131576,202731
131576,131637
131577,163043
131578,135357
131578,131697
131578,131533
131578,131726
131578,131725
131578,133398
131578,133376
131578,133317
131581,131582
131582,133440
131582,135009
131582,131758
131582,131581
131587,135526
131589,131782
131590,131560
131590,134993
131590,131755
131590,131546
131590,131754
131591,154043
131591,131692
131591,134371
131591,134177
131591,134258
131591,131630
131591,134311
131592,134971
131592,183904
131592,131566
131593,135101
131597,131673
131597,131782
131601,133335
131601,134116
131601,131555
131601,135049
131601,133326
131601,133392
131604,133888
131604,134090
131605,182325
131605,131781
131605,131606
131606,182325
131606,131605
131607,131631
131607,131750
131607,135902
131607,133508
131607,131630
131607,134371
131607,154043
131607,135285
131607,183919
131607,133740
131607,134124
131607,133619
131607,131813
131607,131651
131607,131530
131607,133590
131607,131918
131607,131648
131607,131845
131607,131666
131607,133660
131607,134031
131607,131811
131607,131812
131607,131687
131607,134998
131607,131853
131607,134079
131607,131732
131607,134418
131607,135275
131607,131942
131607,133574
131607,134074
131607,134578
131607,133647
131607,134247
131607,131822
131607,131761
131609,131709
131609,135169
131609,131679
131612,206601
131612,134294
131612,131720
131612,131746
131612,134307
131612,134308
131616,131636
131616,131671
131618,131666
131618,133619
131620,143570
131620,131741
131625,135304
131630,131607
131630,135902
131630,131721
131630,131591
131630,131631
131630,131632
131631,131632
131631,133231
131631,131607
131631,131630
131632,135902
131632,154043
131632,183919
131632,131645
131632,131630
131632,131631
131633,134978
131633,131566
131633,132173
131636,132265
131636,131644
131636,131616
131636,131671
131636,131834
131637,133331
131637,131576
131638,131687
131639,131544
131639,131662
131639,133059
131639,133038
131639,134976
131644,135748
131644,135328
131644,190386
131644,131636
131644,131834
131644,131671
131644,134125
131645,135160
131645,131664
131645,131632
131645,131646
131646,135160
131646,131645
131647,133523
131648,133331
131648,131576
131648,131687
131648,131607
131650,134997
131651,131607
131652,133228
131652,135027
131653,136774
131653,134997
131658,131673
131660,133341
131661,131898
131661,134997
131662,133059
131662,131639
131662,134975
131664,135160
131664,131645
131665,134172
131665,134037
131665,131554
131666,131607
131666,134128
131666,134174
131666,131618
131666,134074
131666,134046
131666,131732
131666,133594
131667,131668
131668,131667
131669,131554
131670,134719
131670,134418
131670,135198
131670,134578
131671,141382
131671,132265
131671,132253
131671,131616
131671,131636
131671,131644
131672,185101
131672,135270
131672,131682
131672,134227
131672,134299
131672,131776
131672,134295
131672,134236
131672,134235
131672,132060
131673,131597
131673,131658
131673,131771
131674,131694
131674,131739
131674,131738
131677,135491
131677,135485
131678,131535
131678,134077
131678,135128
131678,134131
131678,131570
131678,131551
131679,131609
131680,196600
131682,134227
131682,134235
131682,131672
131682,131776
131682,134231
131682,135278
131685,131779
131685,131782
131687,135809
131687,131648
131687,134139
131687,131607
131687,131761
131687,133740
131687,133964
131687,134140
131687,134079
131687,135234
131687,131638
131687,134998
131692,131591
131692,134177
131692,135037
131692,134371
131692,131750
131693,131723
131694,131674
131696,133429
131697,133398
131697,135047
131697,133317
131697,131726
131697,131578
131697,131725
131699,133061
131699,131559
131704,135532
131704,133382
131708,131759
131708,135060
131708,133414
131708,143526
131708,133319
131709,131609
131711,131836
131711,135106
131717,133075
131718,133341
131720,131612
131721,154043
131721,131767
131721,131630
131723,135300
131723,131543
131723,131693
131725,135304
131725,131578
131725,131697
131725,133317
131725,131726
131725,133376
131725,135047
131726,133398
131726,131697
131726,131725
131726,133317
131726,131578
131727,135283
131727,135289
131728,135283
131730,131753
131732,133747
131732,131945
131732,131761
131732,133663
131732,131607
131732,133619
131732,133573
131732,131666
131732,134124
131732,131800
131732,133563
131733,133423
131735,144834
131735,135100
131735,144384
131735,134173
131735,134166
131735,134085
131735,131554
131735,131737
131737,131735
131737,134167
131737,134170
131737,134169
131737,134085
131738,131674
131739,131674
131741,143555
131741,131620
131742,134578
131742,133231
131743,135547
131743,135723
131743,135724
131743,185117
131743,185118
131743,135162
131746,131612
131748,134031
131750,131607
131750,133508
131750,134177
131750,135285
131750,134371
131750,131692
131750,133574
131750,134311
131751,134579
131751,131782
131751,135041
131751,135160
131752,134997
131753,132035
131753,131754
131753,131730
131754,134970
131754,131753
131754,131590
131755,131590
131757,134085
131757,134141
131757,134068
131757,134176
131758,131582
131759,131708
131759,143598
131759,133385
131760,133076
131760,133337
131760,196523
131760,185116
131760,185115
131760,133759
131760,133330
131761,136569
131761,134998
131761,131687
131761,131607
131761,131732
131763,134998
131763,133732
131767,133150
131767,131721
131771,134085
131771,134086
131771,131673
131772,134472
131773,131774
131774,134994
131774,131773
131775,132905
131775,132904
131775,133038
131775,132903
131775,132864
131775,131544
131775,132870
131776,134292
131776,131672
131776,131567
131776,134231
131776,134235
131776,132060
131776,131682
131776,135278
131776,134227
131777,135522
131777,132917
131779,131780
131779,131782
131779,131685
131779,135041
131780,131782
131780,135041
131780,131779
131781,182325
131781,131605
131782,131779
131782,131751
131782,131685
131782,131589
131782,135160
131782,131597
131782,131780
131784,131930
131784,184565
131784,134176
131787,135295
131787,135511
131788,135303
131788,134374
131789,135303
131789,205841
131791,131898
131791,205754
131791,131796
131791,131912
131791,135295
131792,131961
131793,131941
131793,134074
131794,131898
131794,135169
131794,132034
131795,133075
131795,133903
131796,131791
131796,131898
131797,131941
131799,135299
131799,202957
131799,202958
131799,202956
131800,133129
131800,135122
131800,135121
131800,131732
131800,134998
131801,131848
131801,131819
131801,133414
131802,132045
131802,133566
131802,133649
131803,131831
131804,131832
131804,132055
131804,135935
131805,135580
131805,131810
131805,131931
131805,132053
131805,131846
131808,131893
131808,131883
131808,131879
131808,131892
131808,131884
131810,144747
131810,131995
131810,131846
131810,132053
131810,131805
131810,131931
131811,131898
131811,131607
131811,131813
131811,131840
131812,131840
131812,131607
131812,131813
131813,131607
131813,131880
131813,131812
131813,131811
131813,131898
131814,135101
131814,131847
131815,133988
131815,131849
131817,133988
131819,131936
131819,131880
131819,131801
131820,131921
131822,131607
131822,131837
131822,131903
131826,131903
131831,131803
131831,133888
131831,135174
131832,131804
131833,131915
131834,132265
131834,141382
131834,131644
131834,131636
131835,131843
131835,131846
131836,135303
131836,205841
131836,131711
131836,135106
131837,131822
131838,136623
131838,136622
131840,133582
131840,131811
131840,131812
131842,131904
131843,131835
131843,131846
131845,135105
131845,133252
131845,131607
131845,135348
131845,133660
131846,131931
131846,131805
131846,131835
131846,131810
131846,131843
131847,135101
131847,131814
131848,131801
131848,131936
131848,133414
131849,131815
131851,135279
131853,134067
131853,131607
131855,131885
131855,133888
131858,134226
131859,135348
131862,131898
131865,135625
131866,131867
131866,134281
131867,131866
131867,131898
131874,131927
131875,131934
131877,133660
131877,135348
131879,131892
131879,131891
131879,131883
131879,131808
131880,131885
131880,131819
131880,131813
131880,135842
131881,131963
131883,131890
131883,131879
131883,131808
131883,131892
131884,131808
131884,131892
131885,131880
131885,131887
131885,131888
131885,131855
131887,131885
131887,131888
131888,131887
131888,131885
131890,135067
131890,131924
131890,183680
131890,131883
131890,131891
131891,131890
131891,131879
131891,131892
131892,135083
131892,131879
131892,131891
131892,131884
131892,131808
131892,131883
131892,131893
131893,131894
131893,131892
131893,133797
131893,131808
131894,131893
131895,131896
131896,131895
131898,131794
131898,135234
131898,131661
131898,133660
131898,131791
131898,131813
131898,131796
131898,135170
131898,134012
131898,131952
131898,135201
131898,131962
131898,131811
131898,131867
131898,131862
131898,131941
131899,135582
131899,131923
131903,131922
131903,131826
131903,131822
131903,131946
131904,131842
131910,135570
131910,131913
131912,131791
131912,131968
131912,135201
131913,131915
131913,131910
131915,131913
131915,131833
131915,131918
131915,131530
131918,131915
131918,131607
131919,131965
131919,133894
131921,131820
131922,131903
131923,135582
131923,131899
131924,131890
131927,131964
131927,131874
131927,135201
131928,135231
131930,131784
131930,134012
131931,135580
131931,132049
131931,144747
131931,131995
131931,131810
131931,132053
131931,131846
131931,131805
131934,131875
131936,131819
131936,131848
131938,134442
131938,134252
131938,134352
131939,132044
131941,134157
131941,131793
131941,131797
131941,131898
131942,134034
131942,133591
131942,135130
131942,134076
131942,135713
131942,205754
131942,134073
131942,134046
131942,134157
131942,131607
131942,134124
131943,134124
131945,131732
131946,131903
131949,131954
131952,131898
131954,131949
131957,131958
131958,131957
131961,135295
131961,131792
131961,131966
131962,131898
131963,131881
131964,131927
131965,131919
131966,131961
131968,135201
131968,131912
131971,135304
131971,131974
131971,131976
131973,131976
131974,131971
131974,131976
131976,135591
131976,131971
131976,131973
131976,131974
131980,133582
131980,135329
131982,134319
131982,134727
131986,135627
131986,135297
131986,154123
131986,135875
131986,134386
131987,190374
131988,190374
131989,135627
131989,135564
131989,190374
131991,136731
131995,144748
131995,132053
131995,135170
131995,131931
131995,131810
131999,132001
132001,131999
132002,135187
132002,144083
132004,132015
132004,134312
132004,132005
132004,134366
132004,134379
132005,134313
132005,134366
132005,132015
132005,132004
132005,134379
132006,132024
132006,134380
132008,205501
132008,205500
132010,135564
132011,133291
132011,132022
132011,133137
132011,135233
132011,132029
132011,133101
132012,132022
132012,133137
132012,135232
132014,134447
132014,134446
132015,134379
132015,134313
132015,132005
132015,134312
132015,132004
132017,135675
132017,135502
132018,133227
132019,134220
132019,182101
132022,132011
132022,135232
132022,132012
132024,132006
132024,134320
132025,135181
132029,133101
132029,132011
132032,133732
132032,133678
132033,132035
132033,132038
132033,134362
132034,135513
132034,131794
132035,132038
132035,132033
132035,131753
132036,134220
132037,133239
132037,133757
132038,132033
132038,132035
132039,133254
132039,133255
132039,133256
132039,135104
132040,136560
132040,135342
132040,135231
132040,136561
132043,134013
132044,131939
132045,131802
132045,135348
132048,134186
132049,131931
132050,133664
132050,185310
132050,205755
132050,133657
132051,133871
132053,135580
132053,144747
132053,131931
132053,131995
132053,131810
132053,131805
132053,135344
132055,131804
132058,143703
132058,134227
132058,132061
132058,134429
132058,132060
132058,135268
132058,135240
132058,134230
132058,134407
132060,134237
132060,134628
132060,135271
132060,131572
132060,165184
132060,165185
132060,135344
132060,182128
132060,165183
132060,193683
132060,132058
132060,131776
132060,134429
132060,134302
132060,131672
132060,132821
132060,134329
132060,134211
132060,134295
132060,134391
132060,131567
132061,134445
132061,132802
132061,134429
132061,135318
132061,134423
132061,132058
132061,134211
132061,134424
132064,132929
132066,135101
132070,135775
132070,133008
132072,132120
132072,132158
132072,132073
132072,132083
132072,132084
132073,132151
132073,132074
132073,132087
132073,132167
132073,132072
132074,132158
132074,132120
132074,132073
132076,135557
132076,186485
132076,186486
132076,135476
132078,132397
132079,132396
132079,153364
132079,132401
132079,132087
132079,132098
132080,132396
132080,132397
132083,132072
132084,132072
132084,133008
132085,132407
132085,132408
132085,132091
132087,132120
132087,132158
132087,132079
132087,132279
132087,132415
132087,132073
132089,132423
132089,132382
132090,132097
132090,132423
132090,133021
132090,135218
132091,132085
132092,132170
132092,132167
132093,132167
132093,135481
132093,132111
132094,135101
132094,135418
132095,132151
132095,132838
132096,132838
132097,145508
132097,132090
132098,132280
132098,132079
132100,132838
132101,132346
132101,132289
132101,132328
132103,135480
132108,132542
132108,132446
132109,135476
132110,132113
132110,132111
132110,132392
132111,132320
132111,135519
132111,132321
132111,132283
132111,132093
132111,132361
132111,132110
132111,132113
132112,132362
132113,132111
132113,132110
132118,132119
132119,132118
132119,132136
132120,132072
132120,132151
132120,132167
132120,132087
132120,132074
132121,132139
132121,132140
132122,132127
132122,132926
132123,132938
132126,132137
132126,132134
132127,132137
132127,132122
132128,132142
132128,132137
132128,132138
132128,132132
132129,132130
132130,133037
132130,132143
132130,132129
132131,132136
132132,132128
132132,132142
132132,132167
132133,132137
132133,133037
132133,132138
132134,132126
132134,132137
132134,132138
132136,132137
132136,132119
132136,132131
132137,132136
132137,132138
132137,132167
132137,132128
132137,132126
132137,132133
132137,132134
132137,132127
132137,133037
132138,132143
132138,132167
132138,132134
132138,132128
132138,132140
132138,132142
132138,132137
132138,132133
132139,132121
132140,132121
132140,132138
132142,132138
132142,132132
132142,132167
132142,132128
132143,132138
132143,132130
132144,132390
132144,132227
132146,132862
132146,132903
132146,132880
132146,132861
132146,172183
132147,135456
132147,132656
132147,132903
132148,132903
132149,132903
132150,202783
132150,132420
132151,132095
132151,135642
132151,135300
132151,132073
132151,132120
132151,132156
132151,132158
132153,132338
132153,132159
132156,135300
132156,181230
132156,181229
132156,132151
132157,132167
132157,132162
132158,132074
132158,132072
132158,132087
132158,132151
132158,132167
132159,132690
132159,132153
132161,132682
132162,132157
132163,132168
132163,132648
132163,132882
132164,132170
132164,132167
132167,132120
132167,132157
132167,132093
132167,132158
132167,132132
132167,132073
132167,132142
132167,132092
132167,132137
132167,132138
132167,132164
132168,135415
132168,132163
132168,132969
132169,182206
132169,135224
132170,132092
132170,132164
132172,132802
132172,132683
132173,133101
132173,134711
132173,135608
132173,132986
132173,135628
132173,186495
132173,135398
132173,132391
132173,132756
132173,131633
132173,135010
132173,132473
132173,134978
132173,135473
132173,135476
132173,132752
132173,132390
132173,134272
132173,134974
132173,135160
132174,132989
132174,132444
