"TH_T_U_UID","TERM","CLA_GR_UID","BROAD_TERM_U_UID","TOP_TERM_U_UID"
134004,"ABATTOIR",1,135402,132062
133907,"ABBEY",1,133906,133667
183899,"ABBOTS PALACE",1,134998,131528
131532,"ABBOTS SUMMER PALACE",1,134998,131528
182348,"ABLUTIONS BLOCK",1,182347,133297
182344,"ABLUTIONS BLOCK",1,135925,131528
133007,"ABRASIVES MANUFACTURING SITE",1,135425,132062
206598,"ACADEMY SCHOOL",1,133423,133422
185103,"ACCESS BARRIER",1,143803,143383
192058,"ACCIDENT HOSPITAL",1,135351,133667
134483,"ACCIDENT HOSPITAL",1,134530,134482
191864,"ACCOMMODATION BRIDGE",1,143703,143383
134199,"ACCOMMODATION BRIDGE",1,135240,134198
135267,"ACCOMMODATION BRIDGE",1,134241,134198
205333,"ACCOMMODATION HUT",1,144323,131528
132735,"ACCUMULATOR HOUSE",1,135433,132062
185320,"ACETATE FACTORY",1,132173,132062
185321,"ACETATE FACTORY",1,143600,143383
182036,"ACETONE FACTORY",1,135384,132062
132276,"ACID TOWER",1,135384,132062
145556,"ACID WORKS",1,145521,132062
132299,"ACID WORKS",1,132285,132062
185089,"ACTIVE AIR DEFENCE SITE",1,185088,133297
185303,"ACTIVITY CENTRE",1,133551,133551
145683,"ADIT",1,132700,132062
204782,"ADMIRALTY SIGNAL ESTABLISHMENT",1,204195,133297
204783,"ADMIRALTY SIGNAL ESTABLISHMENT",1,185093,133272
197486,"ADMIRALTY SIGNAL STATION",1,136818,133297
192059,"ADMISSION HOSPITAL",1,135351,133667
134484,"ADMISSION HOSPITAL",1,134530,134482
133298,"ADULTERINE CASTLE",1,133331,133297
131533,"ADULTERINE CASTLE",1,131576,143383
136697,"ADVANCED LANDING GROUND",1,136816,133297
202800,"AERIAL LIFT",1,135242,134198
135642,"AERIAL ROPEWAY",1,132704,132062
204779,"AEROPLANE REPAIR SECTION SHED",1,134204,134198
204780,"AEROPLANE REPAIR SECTION SHED",1,182397,133297
191846,"AEROPLANE TWIN SHED",1,134204,134198
190321,"AEROPLANE TWIN SHED",1,182397,133297
135929,"AGAPEMONE",1,133667,133667
134005,"AGGREGATE FIELD SYSTEM",1,134095,134003
131534,"AGGREGATE VILLAGE",1,131673,131528
134006,"AGRICULTURAL BUILDING",1,134003,134003
135385,"AGRICULTURAL CHEMICAL SITE",1,135384,132062
133426,"AGRICULTURAL COLLEGE",1,135188,133422
144823,"AGRICULTURAL DWELLING",1,134997,131528
191971,"AGRICULTURAL ENGINEERING WORKS",1,145534,132062
135471,"AGRICULTURAL ENGINEERING WORKS",1,135747,132062
191984,"AGRICULTURAL HALL",1,133464,133422
191981,"AGRICULTURAL HALL",1,133597,133551
133155,"AGRICULTURAL HALL",1,134966,133154
135928,"AGRICULTURAL MACHINERY DEPOT",1,133154,133154
135989,"AGRICULTURAL MERCHANTS",1,133154,133154
134003,"AGRICULTURE AND SUBSISTENCE",1,,134003
185088,"AIR DEFENCE SITE",1,133297,133297
204182,"AIR FORCE HEADQUARTERS",1,135886,133297
204073,"AIR RAID PRECAUTIONS CENTRE",1,185065,133297
185066,"AIR RAID PRECAUTIONS HEADQUARTERS",1,185065,133297
204074,"AIR RAID PRECAUTIONS LANTERN",1,185065,133297
204075,"AIR RAID PRECAUTIONS OBSERVATION POST",1,185065,133297
204076,"AIR RAID PRECAUTIONS REPORT CENTRE",1,185065,133297
204077,"AIR RAID PRECAUTIONS SIGN",1,185065,133297
204078,"AIR RAID PRECAUTIONS SIGNAL BOX",1,185065,133297
185065,"AIR RAID PRECAUTIONS SITE",1,136813,133297
