"CLA_GR_UID","THE_TE_UID","TERM","INDEX_TERM","SCOPE_NOTE","STATUS","IMAGE_EXISTS"
1,70456,"RAINWATER HEAD","Y","The receptacle at the top of a rain-water pipe which gathers the water from one or more outlets or gutters on the roof.","P",
1,70457,"RESERVOIR","Y","A large natural or artificial body of water, sometimes covered, used to collect and store water for a particular function, eg. industrial or public use.","P",
1,70459,"SEWER","Y","A large drain or conduit for carrying away wastes.","P",
1,70460,"SLUICE","Y","A dam which can be raised or lowered to regulate the flow of water.","P",
1,70463,"WATER PIPE","Y","A pipe through which water is conducted.","P",
1,70464,"WATER TANK","Y","A receptacle for the storage of water.","P",
1,70468,"WELL HEAD","Y","The structure at the top of a draw well.","P",
1,70469,"WELL HOUSE","Y","A building over a well housing machinery for raising the water. Often consisting of a DONKEY WHEEL or HORSE GIN.","P",
1,70470,"A P Enclosure","N",,"N",
1,70471,"A P Linear Feature","N",,"N",
1,70472,"A P Linear System","N",,"N",
1,70473,"A P Macula","N",,"N",
1,70474,"A P Site","N",,"N",
1,70476,"Slaughter House","N",,"N",
1,70477,"Abbots Lodging","N",,"N",
1,70478,"Academy","N",,"N",
1,70479,"Overhead Cableway","N",,"N",
1,70480,"Aerodrome","N",,"N",
1,70481,"Agger","N",,"N",
1,70482,"Irregular Aggregate Field System","N",,"N",
1,70483,"Regular Aggregate Field System","N",,"N",
1,70484,"COMBINATION FARM BUILDING","Y","A multi-purpose farm building.","P",
1,70446,"Hydrant","N",,"N",
1,70386,"GEOLOGICAL MARKS","Y","Soil marks and other features of natural origin, including periglacial frost wedging, solifluction deposits, abandoned water courses, etc, recorded to avoid future confusion with features of human origin.","P",
1,70392,"SUBMARINE FOREST","Y","A forest killed by rising sea-level. Nowadays only tree stumps survive.","P",
1,70399,"PIT ALIGNMENT","Y","A single line, or pair of roughly parallel lines, of pits set at intervals along a common axis or series of axes. The pits are not thought to have held posts.","P",
1,70405,"REFECTORY","Y","A communal dining room, especially in schools, colleges and monasteries.","P",
1,70406,"REVETMENT","Y","A wall or masonry construction built for the purpose of retaining or supporting a bank of earth, wall, rampart etc.","P",
1,70409,"SCRATCH DIAL","Y","A set of marks found on the wall of a building, thought to be a form of sundial.","P",
1,70411,"SHELTER","Y","A structure which protects an area of ground from the weather.","P",
1,70413,"STABLE","Y","A building in which horses are accommodated.","P",
1,70414,"STONE BLOCK","Y","A piece of stone, usually shaped, of uncertain origin or use.","P",
1,70419,"LAMP POST","Y","A post, usually of iron or concrete, used to support a street lamp.","P",
1,70421,"TERRACED GROUND","Y","An artificially raised level of ground.","P",
1,70424,"UNDERGROUND STRUCTURE","Y","A constructed space beneath the surface of the ground.","P",
1,70427,"Crinkle Crankle Wall","N",,"N",
1,70428,"WOOD SHED","Y","A building or room in which wood is stored.","P",
1,70429,"YARD","Y","A paved area, generally found at the back of a house.","P",
1,70433,"BATH HOUSE","Y","A building equipped with facilities for bathing, and occasionally public baths.","P",
1,70436,"CONDUIT","Y","A pipe or channel for conveying water or other liquids.","P",
