THE_TE_UID,TERM,TERM_GD,POS_GD,KEYWORDS_GD,INDEX_TERM,SCOPE_NOTE,SCOPE_NOTE_GD,STATUS,ORIGIN,PROPOSED,WHEN_PROPOSED,ACCEPTED,DATE_ACCEPTED,COMMENTS,LIST_UID,ENTERED_DT,ENTERED_BY,UPDATED_DT,UPDATED_BY,SYNONYMS_GD
436,MINERS COTTAGE,TAIGH-MÈINNEIR,nm,"taigh-mèinneir, tigh-mèinneir, thaigh-mèinneir, thigh-mèinneir, taigh-mhèinneir, tigh-mhèinneir, taighe-mhèinneir, tighe-mhèinneir, thaighe-mhèinneir, thighe-mhèinneir, taighean-mèinneir, tighean-mèinneir, thaighean-mèinneir, thighean-mèinneir, taighean-mèinneir, tighean-mèinneir, thaighean-mèinneir, thighean-mèinneir",Y,A cottage purpose built by an employer for the accommodation of a miner and his family.,Taigh beag a chaidh a thogail a dh’aona-ghnothach le fastaiche a chum còmhnaidh mèinneir agus a chuid teaglaich.,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,09/01/2008 08:26,ANGELAG,
437,WEAVERS COTTAGE,TAIGH-BREABADAIR,nm,"taigh-breabadair, tigh-breabadair, thaigh-breabadair, taigh-bhreabadair, thigh-breabadair, tigh-bhreabadair, taighe-bhreabadair, tighe-bhreabadair, thaighe-bhreabadair, thighe-bhreabadair, taighean-breabadair, tighean-breabadair, thaighean-breabadair, thighean-breabadair",Y,A building which combines a dwelling with a workshop where textiles are hand woven.,Togalach a tha an dà chuid na àite-còmhnaidh agus àite-obrach far an dèanar clò a làimh.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
438,WORKERS COTTAGE,TAIGH-OBRAICHE,nm,"taigh-obraiche, tigh-obraiche, taigh-oibriche, tigh-oibriche, thaigh-obraiche, thigh-obraiche, thaigh-oibriche, thigh-oibriche, taigh-obraiche, thaigh-obraiche, thaigh-obraiche, taighean-obraiche, tighean-obraiche, taighean-oibriche, tighean-oibriche, thaighean-obraiche, thighean-obraiche, thaighean-oibriche, thighean-oibriche, taighean-obraiche, tighean-obraiche, taighean-oibriche, tighean-oibriche, thaighean-obraiche, thighean-obraiche, thaighean-oibriche, thighean-oibriche",Y,"An industrial worker's house which has been purpose built by an employer, as opposed to the workshop houses used by artisans.","Taigh aig obraiche gnìomhachais a chaidh a thogail a dh'aona-ghnothach le fastaiche, seach taighean-ciùird a bhiodh aig ciùird.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,09/01/2008 08:31,ANGELAG,
439,LAIRDS HOUSE,TAIGH-UACHDARAIN,nm,"taigh-uachdarain, tigh-uachdarain, thaigh-uachdarain, thigh-uachdarain, taigh-uachdarain, thaigh-uachdarain, thaigh-uachdarain, taighean-uachdarain, tighean-uachdarain, thaighean-uachdarain, tighean-uachdarain, taighean-uachdarain, tighean-uachdarain, thaighean-uachdarain, tighean-uachdarain",Y,"A medium-sized domestic residence of a lesser landholder c.1560-c.1750, the earliest being of tower-house form, the later ones of symmetrical rectangular plan.",Taigh-còmhnaidh meadhanach mòr a bha aig uachdarain-fhearainn eadar 1560 is 1750 mu thuaiream. Bha iad nan taighean-tùir an toiseach ach chaidh an togail air plana ceart-cheàrnach is co-shìnte an uairsin.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
441,MANAGERS HOUSE,TAIGH-MANAIDSEIR,nm,"taigh-manaidseir, tigh-manaidseir, thaigh-manaidseir, thigh-manaidseir, taigh-mhanaidseir, tigh-mhanaidseir, taigh-mhanaidseir, tigh-mhanaidseir, thaigh-mhanaidseir, thigh-mhanaidseir, thaigh-manaidseir, taighean-manaidseir, tighean-manaidseir, thaighean-manaidseir, tighean-manaidseir, taighean-manaidseir, tighean-manaidseir, thaighean-manaidseir, tighean-manaidseir",Y,"A purpose-built dwelling for the manager of a factory, works, textile mill, etc, often found within the complex itself.","Àite-còmhnaidh a chaidh a thogail do mhanaidsear factaraidh no muileann-clòtha 's msaa, gu math tric am broinn nan togalaichean-obrach iad fhèin.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
442,MERCHANTS HOUSE,TAIGH-MARSANTA,nm,"taigh-marsanta, tigh-marsanta, thaigh-marsanta, thigh-marsanta, taigh-mharsanta, tigh-mharsanta, taigh-mharsanta, tigh-mharsanta, thaigh-mharsanta, thigh-mharsanta, thaigh-marsanta, taighean-marsanta, tighean-marsanta, thaighean-marsanta, tighean-marsanta, taighean-marsanta, tighean-marsanta, thaighean-marsanta, tighean-marsanta",Y,"Originally, a house of higher social status in a town or port, often with a storage cellar.","Taigh aig cuideigin aig an robh inbheach nas àirde ann am baile no port, gu math tric le seilear stòrais.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
443,RING DITCH HOUSE,TAIGH LE CUAIRT-DÌG,,taigh le cuairt-dìg,Y,"A roundhouse with an internal ditch, which may be visible on the ground surface.",Taigh-cruinn le dìg na bhroinn. Dh'fhaoidte gum faicear an dìg air uachdar na talamhainn.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
444,RING GROOVE HOUSE,TAIGH LE CUAIRT-GHRÒB,,taigh le cuairt-ghròb,Y,"A roundhouse, the upright posts of which stood in a penannular bedding trench. The trench may be visible on the ground as a shallow groove.",Taigh-cruinn aig an robh saidhean a sheas ann an clais leabachaidh bheàrn-fhàinneach. Dh'fhaoidte gun aithnichear a' chlais air gròb eu-domhain air an talamh.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
445,ROUNDHOUSE,TAIGH-CRUINN,nm,"taigh-cruinn, tigh-cruinn, thaigh-cruinn, taigh-chruinn, thigh-cruinn, tigh-chruinn, taigh-chruinn, thigh-cruinn, thaigh-chruinn, thigh-chruinn, thaigh-cruinn, taighean-cruinn, tighean-cruinn, thaighean-cruinn, thighean-cruinn",Y,"A circular or sub-circular dwelling, largely timber-built, although it may have a stone or earth wall base.","Àite-còmhnaidh cearcallach no cha mhòr cearcallach, air a thogail de dh'fhiodh gu ìre mhòr ach faodaidh gu bheil bun cloiche no ùir aig a' bhalla.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
446,AISLED ROUNDHOUSE,TAIGH-CRUINN TRANNSACH,,taigh-cruinn trannsach,Y,"A circular or sub-circular dry-stone building with a series of upright single pillar stones set vertically around its inner wall-face, often capped by a lintel which rests on the wall-head. Use for WHEELHOUSE if these features are present.","Togalach-cobhaireachd a tha cruinn no cha mhòr cruinn agus aig a bheil sreath de charraighean-cloiche dìreach mu choinneamh a bhalla a-staigh, gu tric le leacan os an cionn a tha an taobh eile dhiubh air an anainn. Cleachd an àite TAIGH-ROTHAICH ma tha a leithid a rudan ann.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
